Date,Delhi,Mumbai,Chennai,Kolkata
NA,67.82,72,71.62,70.58
NA,67.75,71.93,71.55,70.51
NA,67.62,71.79,71.41,70.37
NA,67.72,71.89,71.52,70.43
NA,67.79,71.97,71.59,70.48
NA,67.89,72.07,71.7,70.56
NA,67.98,72.17,71.79,70.63
NA,68.08,72.28,71.9,70.71
NA,68.23,72.44,72.06,70.84
NA,68.35,72.56,72.19,70.94
NA,68.47,72.65,72.28,71.03
NA,68.61,72.8,72.43,71.16
NA,68.43,72.61,72.24,70.98
NA,68.3,72.47,72.1,70.85
NA,68.23,72.4,72.03,70.78
NA,68.07,72.23,71.85,70.62
NA,67.86,72,71.63,70.41
NA,67.76,71.9,71.52,70.31
NA,67.66,71.79,71.42,70.21
NA,67.5,71.62,71.24,70.05
NA,67.38,71.49,71.12,69.93
NA,67.38,71.52,71.12,69.93
NA,67.48,71.66,71.22,70.03
NA,67.54,71.76,71.29,70.09
NA,67.61,71.87,71.36,70.16
NA,67.68,71.99,71.44,70.23
NA,67.78,72.13,71.54,70.33
NA,67.85,72.24,71.62,70.4
NA,67.95,72.35,71.73,70.5
NA,68.1,72.51,71.89,70.65
NA,68.28,72.7,72.08,70.83
NA,68.58,73.02,72.4,71.13
NA,68.73,73.17,72.56,71.28
NA,68.8,73.25,72.64,71.35
NA,68.88,73.33,72.72,71.43
NA,68.97,73.43,72.82,71.52
NA,69.11,73.58,72.97,71.66
NA,69.2,73.67,73.06,71.75
NA,69.25,73.73,73.12,71.8
NA,69.3,73.78,73.17,71.85
NA,69.31,73.79,73.18,71.86
NA,69.17,73.64,73.03,71.72
NA,69.06,73.53,72.91,71.61
NA,68.9,73.36,72.74,71.45
NA,68.75,73.2,72.58,71.3
NA,68.53,72.96,72.35,71.08
NA,68.34,72.76,72.14,70.89
NA,68.08,72.48,71.87,70.63
NA,67.82,72.21,71.59,70.37
NA,67.57,71.94,71.32,70.12
NA,67.31,71.67,71.04,69.86
NA,67.08,71.42,70.8,69.63
NA,66.79,71.12,70.49,69.33
